arrival_hour,express_basket__senior__card,express_basket__senior__cash,express_basket__pregnant__card,express_basket__pregnant__cash,express_basket__reduced_mobility__card,express_basket__reduced_mobility__cash,express_basket__no_priority__card,express_basket__no_priority__cash,self_checkout_fan__senior__card,self_checkout_fan__senior__cash,self_checkout_fan__pregnant__card,self_checkout_fan__pregnant__cash,self_checkout_fan__reduced_mobility__card,self_checkout_fan__reduced_mobility__cash,self_checkout_fan__no_priority__card,self_checkout_fan__no_priority__cash,family_cart__senior__card,family_cart__senior__cash,family_cart__pregnant__card,family_cart__pregnant__cash,family_cart__reduced_mobility__card,family_cart__reduced_mobility__cash,family_cart__no_priority__card,family_cart__no_priority__cash,weekly_planner__senior__card,weekly_planner__senior__cash,weekly_planner__pregnant__card,weekly_planner__pregnant__cash,weekly_planner__reduced_mobility__card,weekly_planner__reduced_mobility__cash,weekly_planner__no_priority__card,weekly_planner__no_priority__cash,regular__senior__card,regular__senior__cash,regular__pregnant__card,regular__pregnant__cash,regular__reduced_mobility__card,regular__reduced_mobility__cash,regular__no_priority__card,regular__no_priority__cash,deal_hunter__senior__card,deal_hunter__senior__cash,deal_hunter__pregnant__card,deal_hunter__pregnant__cash,deal_hunter__reduced_mobility__card,deal_hunter__reduced_mobility__cash,deal_hunter__no_priority__card,deal_hunter__no_priority__cash
8,0.019307832422586522,0.002185792349726776,0.008014571948998178,0.0,0.003278688524590164,0.0007285974499089253,0.22367941712204006,0.02477231329690346,0.004371584699453552,0.0007285974499089253,0.003278688524590164,0.0,0.0007285974499089253,0.0,0.08633879781420765,0.003278688524590164,0.00546448087431694,0.005100182149362477,0.0029143897996357013,0.001092896174863388,0.001092896174863388,0.001092896174863388,0.06484517304189436,0.06557377049180328,0.009107468123861567,0.003278688524590164,0.0018214936247723133,0.0,0.0014571948998178506,0.0014571948998178506,0.09180327868852459,0.05245901639344262,0.012021857923497269,0.0036429872495446266,0.0029143897996357013,0.0,0.0014571948998178506,0.00036429872495446266,0.15846994535519127,0.024408014571948997,0.0058287795992714025,0.0025500910746812386,0.0007285974499089253,0.00036429872495446266,0.0025500910746812386,0.0007285974499089253,0.07067395264116576,0.024043715846994537
9,0.02050473186119874,0.0031545741324921135,0.007535927094286716,0.0001752541184717841,0.0029793200140203293,0.0007010164738871364,0.2246757798808272,0.02488608482299334,0.0070101647388713636,0.0005257623554153522,0.0026288117770767614,0.0,0.0015772870662460567,0.0001752541184717841,0.07588503329828251,0.0017525411847178409,0.006309148264984227,0.006484402383456011,0.0014020329477742728,0.0015772870662460567,0.0014020329477742728,0.0012267788293024886,0.06221521205748335,0.0671223273746933,0.009288468279004557,0.005082369435681739,0.0015772870662460567,0.0008762705923589204,0.0015772870662460567,0.0008762705923589204,0.09954433929197336,0.04679284963196635,0.014370837714686295,0.002103049421661409,0.003680336487907466,0.0003505082369435682,0.004206098843322818,0.0,0.15720294426919032,0.02961794602173151,0.008236943568173852,0.002103049421661409,0.0017525411847178409,0.0003505082369435682,0.0010515247108307045,0.0001752541184717841,0.06554504030844725,0.021731510690501228
10,0.02614562833848749,0.004919876300253022,0.0051307281416924375,0.0003514197357323587,0.0033736294630306437,0.0004919876300253023,0.23517008715209445,0.027059319651391623,0.008574641551869553,0.000281135788585887,0.0014759628900759066,0.0,0.0008434073657576609,0.0,0.08012369974697779,0.0018273826258082655,0.0070986786617936466,0.007450098397526005,0.0013353949957829632,0.0016868147315153219,0.0007731234186111892,0.001124543154343548,0.06445037953331459,0.0654343547933652,0.007520382344672477,0.004568456564520663,0.0018273826258082655,0.0012651110486364915,0.0011948271014900196,0.0006325555243182458,0.08539499578296317,0.04891762721394433,0.014759628900759067,0.0037953331459094743,0.00400618498734889,0.00021085184143941523,0.0011948271014900196,0.0003514197357323587,0.15307843688501546,0.027270171492831036,0.0056227157717177395,0.0027410739387123983,0.0014759628900759066,7.028394714647174e-05,0.0010542592071970762,0.0004919876300253023,0.06550463874051167,0.021928591509699186
11,0.01694465727588849,0.0032121176401249483,0.004479283314669653,0.00023575175340366595,0.002946896917545824,0.0004715035068073319,0.17236400070725527,0.018535981611363234,0.005716980020038899,0.0004125655684564154,0.0021512347498084516,0.0,0.0012376967053692462,0.00011787587670183298,0.06556845641539459,0.0012082277361937879,0.009371132197795722,0.010815111687393174,0.003153179701774032,0.0023575175340366595,0.001561855366299287,0.001443979489597454,0.09544999115930924,0.09624565332704663,0.013378912005658041,0.00854600106088289,0.004214062592090529,0.0016502622738256616,0.0022691106265102846,0.0010608828903164967,0.13806212058702186,0.07482171273648848,0.011758118701007838,0.0024164554723875757,0.0029763658867212827,0.0002652207225791242,0.001561855366299287,0.0005599104143337066,0.11976189072906229,0.021600754405610892,0.005157069605705193,0.0019154829964047858,0.0015029174279483704,0.0004715035068073319,0.0007661931985619143,0.00011787587670183298,0.05177697884128013,0.01738669181352036
12,0.011532396620301725,0.0020005177810727484,0.007107721998634941,0.000329497046294335,0.0021652663042199156,0.0004471745628280261,0.2271411424133305,0.025465414577890748,0.004189319588599402,0.00021181952976064393,0.001882840264539057,2.3535503306738213e-05,0.0011532396620301726,4.7071006613476426e-05,0.07310127327072889,0.0017416272446986278,0.004754171667961119,0.00633105038951258,0.0028948669067288004,0.002306479324060345,0.0010355621454964815,0.0010120266421897433,0.09322412859799006,0.09192967591611946,0.007743180587916873,0.004565887641507214,0.0039539645555320205,0.001882840264539057,0.001200310668643649,0.0011767751653369107,0.1336345877756596,0.07246581468144696,0.00593094683329803,0.0015768787215514604,0.00303607992656923,0.00042363905952128787,0.001106168655416696,0.0001882840264539057,0.10433288615877051,0.017981124526347998,0.0027301183835816327,0.0012473816752571253,0.0017180917413918897,0.000329497046294335,0.00065899409258867,0.00021181952976064393,0.053096095460001415,0.016780813857704347
13,0.012004040498954639,0.0019497756583429257,0.007000399351640866,0.0004228429138575019,0.0021142145692875096,0.0004698254598416688,0.2262914327327398,0.026380699570109703,0.0035471822218045997,0.0002349127299208344,0.001808828020390425,0.0,0.000963142192675421,0.0,0.07531302121261951,0.0020437407503112594,0.004909676055345439,0.0061312222509337785,0.0031008480349550144,0.0025370574831450115,0.0008221945547229204,0.0009396509196833376,0.09260259813479292,0.09203880758298293,0.00655406516479128,0.004698254598416688,0.0040170076816462685,0.0020437407503112594,0.0012920200145645892,0.0010336160116516714,0.1323498320373981,0.07298738518640326,0.005027132420305856,0.0010805985576358382,0.0029599003970025134,0.0004463341868495854,0.0009396509196833376,9.396509196833376e-05,0.10517042918555757,0.01822922784185675,0.002349127299208344,0.0012450374685804223,0.001808828020390425,0.0003523690948812516,0.0005637905518100026,0.00018793018393666752,0.05297282059714816,0.01797082383894383
14,0.011513816579895876,0.002027432919503404,0.006758109731678013,0.00035042050460552663,0.0022026431718061676,0.00035042050460552663,0.22549559471365638,0.024829795754905886,0.0036293552262715257,0.00042551061273528236,0.0023277933520224267,2.5030036043251902e-05,0.0008510212254705647,2.5030036043251902e-05,0.07381357629154986,0.0016269523428113736,0.003829595514617541,0.0054815778934721665,0.003253904685622747,0.0029785742891469762,0.0006758109731678013,0.0009010812975570685,0.09506407689227073,0.09518922707248699,0.006908289947937525,0.004380256307569083,0.004129955947136564,0.0018772527032438926,0.0016269523428113736,0.0012014417300760913,0.13376051261513816,0.07246195434521426,0.005356427713255907,0.0014016820184221065,0.0029785742891469762,0.00037545054064877856,0.0011513816579895874,0.00017521025230276331,0.10600220264317181,0.018221866239487385,0.0027783340008009612,0.001026231477773328,0.001301561874249099,0.00035042050460552663,0.00047557068482178617,0.00022527032438926712,0.0513115738886664,0.016895274329195034
15,0.009195064629847238,0.0017626321974148062,0.0051410105757931845,0.00035252643948296123,0.0018507638072855464,0.0002937720329024677,0.17717391304347826,0.020329024676850764,0.003701527614571093,0.00023501762632197415,0.002144535840188014,5.8754406580493536e-05,0.0004700352526439483,5.8754406580493536e-05,0.06880141010575794,0.0013807285546415982,0.0047884841363102235,0.006639247943595769,0.0029964747356051704,0.002379553466509988,0.0008225616921269095,0.0011750881316098707,0.10164512338425381,0.10047003525264395,0.007168037602820212,0.0049059929494712105,0.004054054054054054,0.0017626321974148062,0.0010869565217391304,0.0009988249118683902,0.14770857814336075,0.07408930669800234,0.006081081081081081,0.001263219741480611,0.0035252643948296123,0.0004700352526439483,0.0013513513513513514,0.0002643948296122209,0.12802585193889543,0.0217978848413631,0.0025851938895417154,0.0013219741480611047,0.0018801410105757932,0.0005581668625146886,0.0005287896592244418,0.0002643948296122209,0.05690364277320799,0.017538190364277322
16,0.009041276906492332,0.001286643252077755,0.004555412595194213,0.00024341899363633203,0.002155996800778941,0.0005563862711687589,0.17981708801335328,0.02048196960739994,0.0035121883367527904,0.00027819313558437943,0.001530062245714087,6.954828389609486e-05,0.000730256980908996,0.00010432242584414229,0.07000034774141949,0.0011475466842855652,0.004555412595194213,0.006607086970129012,0.0025385123622074625,0.0024341899363633204,0.0012170949681816602,0.0010779984003894704,0.10063636679764927,0.09997565810063637,0.007963278506102862,0.004590186737142261,0.0039642521820774075,0.0011475466842855652,0.0014257398198699448,0.0006954828389609487,0.14306081997426714,0.07671175713739263,0.0061897972667524425,0.0017387070974023717,0.0024341899363633204,0.0006954828389609487,0.001460513961817992,0.0003129672775324269,0.12577807142608757,0.02249886984038669,0.0030253503494801267,0.0008693535487011858,0.0013561915359738498,0.0003129672775324269,0.00048683798727266407,0.00017387070974023716,0.059394234447265014,0.019160552213374135
17,0.011622595543825814,0.0025376846165558542,0.005887428310409583,0.0002537684616555854,0.002486930924224737,0.0006597980003045221,0.24996193473075165,0.02771151601278993,0.0042125564634827185,0.000609044307973405,0.0020301476932446834,0.0,0.0004567832309800538,0.00010150738466223418,0.08927574481043496,0.0013703496929401615,0.003248236309191494,0.004161802771151601,0.0014718570776023957,0.0014211033852712786,0.0005582906156422879,0.0008628127696289905,0.06856823833933919,0.06892351418565701,0.005633659848753997,0.0035527584631781964,0.002283916154900269,0.0010150738466223417,0.0010150738466223417,0.000609044307973405,0.08653504542455463,0.0519717809470639,0.008729635080952139,0.0017763792315890982,0.0037557732325026647,0.00040602953864893673,0.0011165812312845759,0.0005582906156422879,0.15327615083997362,0.026442673704512004,0.003298990001522611,0.001725625539257981,0.0018271329239202153,0.0005582906156422879,0.0009135664619601076,0.0003045221539867025,0.07080140080190835,0.02349895954930721
